,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,productionCountries,originCountry,overview,CountryName,RuntimeMinutes
1666,Same Kind of Different as Me,tt1230168,Same Kind of Different as Me,No,,3100000,2:00,1600000,Same Kind of Different as Me,1000.0,movie,Same Kind of Different as Me,Same Kind of Different as Me,2017,119,"Biography,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives.",['United States of America'],120
1668,Shirley,tt14077516,Shirley,Yes,2024-03-22,3100000,1:59,1600000,Shirley,2024.0,movie,Shirley,Shirley,2024,117,"Biography,Drama,History","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Shirley Chisholm makes a trailblazing run for the 1972 Democratic presidential nomination after becoming the first Black woman elected to Congress.,['United States of America'],119
1686,You Don't Mess with the Zohan,tt0960144,You Don't Mess with the Zohan,No,,3100000,1:53,1600000,You Don't Mess with the Zohan,1000.0,movie,You Don't Mess with the Zohan,You Don't Mess with the Zohan,2008,113,"Action,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,['United States of America'],113
1635,Detective Conan the  Movie: Zero the Enforcer,tt7880466,Detective Conan the  Movie: Zero the Enforcer // ___ ______ ______,No,,3000000,1:50,1600000,Detective Conan the  Movie: Zero the Enforcer,1000.0,movie,Detective Conan: Zero the Enforcer,Meitantei Conan: Zero no Shikkônin,2018,115,"Action,Adventure,Animation","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"After a sudden explosion at Edge of Ocean island in Tokyo, Tōru Amuro, codename Zero, begins to investigate. Meanwhile, private eye Kogorō is arrested as a suspect, so Conan Edogawa conducts his own investigation to prove his innocence, but Amuro stands in his way.",['Japan'],110
1637,Elysium,tt1535108,Elysium (2013),No,,3000000,1:50,1600000,Elysium,2013.0,movie,Elysium,Elysium,2013,109,"Action,Drama,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","['CA', 'MX', 'ZA', 'US']","In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes, a hard line government official, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",['United States of America'],110
1641,Harbin,tt23630030,Harbin // ___,No,,3000000,1:54,1600000,Harbin,1000.0,movie,Harbin,Haeolbin,2024,108,"Action,Biography,Crime","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",['KR'],"In 1909, several years after Korea is forced into becoming a Japanese colony, freedom fighters plot the daring assassination of Japan's prime minister during their quest for independence.",['South Korea'],114
1643,Hitman: Agent Jun,tt11649614,Hitman: Agent Jun // ___,No,,3000000,1:50,1600000,Hitman: Agent Jun,1000.0,movie,Hitman: Agent Jun,Hiteumaen,2020,110,"Action,Comedy","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",['KR'],A failing webtoon artist finds he's drawn a target on his own back after publishing a story containing real secrets from his former life as a superspy.,['South Korea'],110
1654,Mean Girls,tt11762114,Mean Girls (2024),No,,3000000,1:52,1600000,Mean Girls,2024.0,movie,Mean Girls,Mean Girls,2024,112,"Comedy,Musical","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"New student Cady Heron is welcomed into the top of the social food chain by the elite group of popular girls called ‘The Plastics,’ ruled by the conniving queen bee Regina George and her minions Gretchen and Karen. However, when Cady makes the major misstep of falling for Regina’s ex-boyfriend Aaron Samuels, she finds herself prey in Regina’s crosshairs. As Cady sets to take down the group’s apex predator with the help of her outcast friends Janis and Damian, she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school.",['United States of America'],112
1684,Wonderland,tt31254554,Wonderland // ____,Yes,2024-07-26,3000000,1:55,1600000,Wonderland,2024.0,movie,Wonderland,Wonderland,2024,113,"Drama,Sci-Fi","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",['KR'],"In a world where an AI programme allows people to communicate with their deceased loved ones, a flight attendant and a mother question the meaning of reality and humanity.",['South Korea'],115
1623,2 Guns,tt1272878,2 Guns,No,,2900000,1:49,1600000,2 Guns,1000.0,movie,2 Guns,2 Guns,2013,109,"Action,Comedy,Crime","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,['United States of America'],109
1628,All The Bright Places,tt3907584,All The Bright Places,Yes,2020-02-28,2900000,1:49,1600000,All The Bright Places,2020.0,movie,All the Bright Places,All the Bright Places,2020,107,"Drama,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,['United States of America'],109
1667,Serena,tt1247690,Serena (2014),No,,2900000,1:50,1600000,Serena,2014.0,movie,Serena,Serena,2014,109,"Drama,History,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"North Carolina mountains at the end of the 1920s – George and Serena Pemberton, love-struck newly-weds, begin to build a timber empire. Serena soon proves herself to be equal to any man: overseeing loggers, hunting rattle-snakes, even saving a man’s life in the wilderness. With power and influence now in their hands, the Pembertons refuse to let anyone stand in the way of their inflated love and ambitions. However, once Serena discovers George’s hidden past and faces an unchangeable fate of her own, the Pemberton’s passionate marriage begins to unravel leading toward a dramatic reckoning.",['United States of America'],110
1672,The Four Seasons,tt0082405,The Four Seasons (1981),No,,2900000,1:48,1600000,The Four Seasons,1981.0,movie,The Four Seasons,The Four Seasons,1981,107,"Comedy,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Three middle-aged wealthy couples take vacations together in Spring, Summer, Autumn and Winter. Along the way we are treated to mid-life, marital, parental and other crises.",['United States of America'],108
1651,Limitless,tt1219289,Limitless (2011),No,,2800000,1:45,1600000,Limitless,2011.0,movie,Limitless,Limitless,2011,105,"Sci-Fi,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],The life of an unsuccessful writer is transformed by a top-secret 'smart drug' that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life.,['United States of America'],105
1656,Mothering Sunday,tt12229370,Mothering Sunday,No,,2800000,1:44,1600000,Mothering Sunday,1000.0,movie,Mothering Sunday,Mothering Sunday,2021,104,"Drama,Romance","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","['DE', 'GB']","On a warm spring day in 1924, house maid and foundling Jane Fairchild finds herself alone on Mother's Day. Her employers, Mr. and Mrs. Niven, are out and she has the rare chance to spend quality time with her secret lover. Paul is the boy from the manor house nearby, Jane's long-term love despite the fact that he's engaged to be married to another woman, a childhood friend and daughter of his parents' friends. But events that neither can foresee will change the course of Jane's life forever.","['Germany', 'United Kingdom']",104
1663,Queen Bees,tt8338076,Queen Bees (2021),No,,2800000,1:42,1600000,Queen Bees,2021.0,movie,Queen Bees,Queen Bees,2021,100,"Comedy,Drama,Romance",[],['US'],Helen is an independent widow who moves into the Pine Grove Senior Community and discovers it’s just like high school – full of cliques and flirtatious suitors. What she initially avoids leads her to exactly what she has been missing: new friendships and a chance at love again with newcomer Dan.,[],102
1670,Someone Borrowed,tt22091698,Someone Borrowed // Esposa de Aluguel,Yes,2022-10-11,2800000,1:47,1600000,Someone Borrowed,2022.0,movie,Someone Borrowed,Esposa de Aluguel,2022,107,"Comedy,Romance","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",['BR'],"To fulfill his mother’s dying wish and avoid being removed from her will, an inflexible bachelor hires an actress to play his fiancée.",['Brazil'],107
1671,The Chalk Line,tt12683756,The Chalk Line // Jaula,No,2022-10-24,2800000,1:46,1600000,The Chalk Line,2022.0,movie,The Chalk Line,Jaula,2022,106,"Horror,Mystery,Thriller","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",['ES'],"After a couple finds a traumatized child of unknown origins, wife Paula must decipher the girl's strange behaviors to unlock her identity and dark past.",['Spain'],106
1674,The Last 7 Days,tt32752746,The Last 7 Days // Sebelum 7 Hari,No,,2800000,1:47,1600000,The Last 7 Days,1000.0,movie,The Last 7 Days,Sebelum 7 Hari,2025,107,Horror,"[{'iso_3166_1': 'ID', 'name': 'Indonesia'}]",['ID'],A curse on their recently deceased mother leaves Tari and her brother Kadar with only seven days to free her soul and protect their family from darkness.,['Indonesia'],107
1658,Not Easily Broken,tt0795438,Not Easily Broken,No,,2700000,1:40,1600000,Not Easily Broken,1000.0,movie,Not Easily Broken,Not Easily Broken,2009,99,"Drama,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A car accident and shifting affections test the bond between a married couple.,['United States of America'],100
1680,The Unholy,tt9419056,The Unholy (2021),No,,2700000,1:39,1600000,The Unholy,2021.0,movie,The Unholy,The Unholy,2021,99,"Drama,Horror,Mystery","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Alice is a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",['United States of America'],99
1627,A Tourist's Guide to Love,tt20115096,A Tourist's Guide to Love,Yes,2023-04-21,2600000,1:36,1600000,A Tourist's Guide to Love,2023.0,movie,A Tourist's Guide to Love,A Tourist's Guide to Love,2023,94,"Adventure,Comedy,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in Vietnam. Along the way, she finds adventure and romance with her Vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.",['United States of America'],96
1632,Capturing the Killer Nurse,tt22010586,Capturing the Killer Nurse,Yes,2022-11-11,2600000,1:35,1600000,Capturing the Killer Nurse,2022.0,movie,Capturing the Killer Nurse,Capturing the Killer Nurse,2022,94,"Crime,Documentary",[],['US'],"Charlie Cullen was an experienced registered nurse, trusted and beloved by his colleagues at Somerset Medical Center in New Jersey. He was also one of history’s most prolific serial killers, with a body count potentially numbering in the hundreds across multiple medical facilities in the Northeast.",[],95
1642,Hitchcock,tt0975645,Hitchcock,No,,2600000,1:38,1600000,Hitchcock,1000.0,movie,Hitchcock,Hitchcock,2012,98,"Biography,Drama,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",['US'],"Following his great success with ""North by Northwest,"" director Alfred Hitchcock makes a daring choice for his next project: an adaptation of Robert Bloch's novel ""Psycho."" When the studio refuses to back the picture, Hitchcock decides to pay for it himself in exchange for a percentage of the profits. His wife, Alma Reville, has serious reservations about the film but supports him nonetheless. Still, the production strains the couple's marriage.","['United States of America', 'United Kingdom']",98
1645,Io e te dobbiamo parlare,tt33460024,Io e te dobbiamo parlare,No,,2600000,1:40,1600000,Io e te dobbiamo parlare,1000.0,movie,Io e te dobbiamo parlare,Io e te dobbiamo parlare,2024,95,"Comedy,Crime","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",['IT'],"A woman in common, a daughter in half and a patrol car for two. Antonio and Pieraldo share many things: a less-than-brilliant career, a less-than-ideal partnership, a long-term but slightly bruised bond -- two lives apparently too quiet for two police officers that fate has cleverly wanted to intertwine. Danger was definitely not their profession... until, incredibly, they will have to face a real crime, a very intricate and risky case that, between challenges against time and twists, will change their lives forever.",['Italy'],100
1661,Overhaul,tt16427938,Overhaul // Carga Mxima,Yes,2023-09-27,2600000,1:40,1600000,Overhaul,2023.0,movie,Overhaul,Carga Máxima,2023,107,"Action,Crime,Drama","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",['BR'],"When truck racer Roger loses everything, he receives a tempting but dangerous offer: to work as the getaway driver for a gang of thieves.",['Brazil'],100
1662,Padre no hay ms que uno 4,tt9427166,Padre no hay ms que uno 4,No,,2600000,1:39,1600000,Padre no hay ms que uno 4,1000.0,movie,Father There Is Only One,Padre no hay más que uno,2019,98,"Comedy,Family","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",['ES'],"Javier is what we have dubbed as a ""husband-in-law."" That is that without taking care of the care of the house and children at all, he knows exactly what needs to be done, and that he continuously collects a sum of sentences from the type: ""It is that you do not organize"", or ""do not get nervous"", you already consider that overflowing woman drowns in a glass of water. Javier will have to face the reality of dealing with five children (between four and twelve years old) when his wife decides to go on a trip and leave him alone with them. The chaotic situation that takes place at home will progressively evolve ecologically to the most absolute disaster, but at the same time it will give parents and children the opportunity to meet and enjoy themselves for the first time.",['Spain'],99
1673,The Fundamentals of Caring,tt2452386,The Fundamentals of Caring,Yes,2016-06-24,2600000,1:37,1600000,The Fundamentals of Caring,2016.0,movie,The Fundamentals of Caring,The Fundamentals of Caring,2016,97,"Comedy,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",['United States of America'],97
1676,The Package,tt7525778,The Package,Yes,2018-08-10,2600000,1:35,1600000,The Package,2018.0,movie,The Package,The Package,2018,94,"Comedy,Thriller","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession.","['Canada', 'United States of America']",95
1681,The Wrath of God,tt15189534,The Wrath of God // La ira de Dios,Yes,2022-06-15,2600000,1:38,1600000,The Wrath of God,2022.0,movie,The Wrath of God,La ira de Dios,2022,97,"Drama,Thriller","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",['AR'],"Convinced the tragic deaths of her loved ones were orchestrated by a famous novelist she worked for, Luciana turns to a journalist to expose her truth.",['Argentina'],98
1624,7 Prisoners,tt14168118,7 Prisoners // 7 Prisioneiros,Yes,2021-11-11,2500000,1:35,1600000,7 Prisoners,2021.0,movie,7 Prisoners,7 Prisioneiros,2021,93,"Crime,Drama","[{'iso_3166_1': 'BR', 'name': 'Brazil'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['BR'],An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,"['Brazil', 'United States of America']",95
1640,Good on Paper,tt8231668,Good on Paper,Yes,2021-06-23,2500000,1:34,1600000,Good on Paper,2021.0,movie,Good on Paper,Good on Paper,2021,92,"Comedy,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After years of putting her career ahead of love, stand-up comic Andrea Singer has stumbled upon the perfect guy. On paper, he checks all the boxes, but is he everything he appears to be?",['United States of America'],94
1644,I'll See You in My Dreams,tt3236120,I'll See You in My Dreams (2015),No,,2500000,1:36,1600000,I'll See You in My Dreams,2015.0,movie,I'll See You in My Dreams,I'll See You in My Dreams,2015,92,"Comedy,Drama,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A sudden loss disrupts Carol’s orderly life, propelling her into the dating world for the first time in 20 years. Finally living in the present tense, she finds herself swept up in not one, but two unexpected relationships that challenge her assumptions about what it means to grow old.",['United States of America'],96
1626,A Quiet Place,tt6644200,A Quiet Place (2018),No,,2400000,1:31,1600000,A Quiet Place,2018.0,movie,A Quiet Place,A Quiet Place,2018,90,"Drama,Horror,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A family is forced to live in silence while hiding from creatures that hunt by sound.,['United States of America'],91
1646,Isn't It Romantic,tt2452244,Isn't It Romantic,No,2019-02-28,2400000,1:29,1600000,Isn't It Romantic,2019.0,movie,Isn't It Romantic,Isn't It Romantic,2019,89,"Comedy,Fantasy,Musical","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"For a long time, Natalie, an Australian architect living in New York City, had always believed that what she had seen in rom-coms is all fantasy. But after thwarting a mugger at a subway station only to be knocked out while fleeing, Natalie wakes up and discovers that her life has suddenly become her worst nightmare—a romantic comedy—and she is the leading lady.","['Canada', 'United States of America']",89
1647,Jackass 4.5,tt18258584,Jackass 4.5,Yes,,2400000,1:31,1600000,Jackass 4.5,1000.0,video,Jackass 4.5,Jackass 4.5,2022,90,"Action,Comedy,Documentary","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Through outrageous, never-before-seen footage, witness the making of the Jackass crew's last go at wild stunts.",['United States of America'],91
1678,The Price of Nonna's Inheritance,tt30494321,The Price of Nonna's Inheritance // Ricchi a tutti i costi,No,2024-06-04,2400000,1:30,1600000,The Price of Nonna's Inheritance,2024.0,movie,The Price of Nonna's Inheritance,Ricchi a tutti i costi,2024,90,Comedy,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",['IT'],"When a grandmother falls for a cheeky suitor with dubious intentions, her family devises a secret plan to protect her life — and their inheritance.",['Italy'],90
1652,Malevolent,tt2386237,Malevolent,No,2018-10-05,2300000,1:29,1600000,Malevolent,2018.0,movie,Malevolent,Malevolent,2018,89,"Horror,Mystery,Thriller","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","['US', 'GB']","A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.",['United Kingdom'],89
1655,Men in Black II,tt0120912,Men in Black II,No,,2300000,1:28,1600000,Men in Black II,1000.0,movie,Men in Black II,Men in Black II,2002,88,"Action,Adventure,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",['United States of America'],88
1664,Rabbids Invasion Special: Mission to Mars,tt15310736,Rabbids Invasion Special: Mission to Mars,No,2022-02-18,1900000,1:11,1600000,Rabbids Invasion Special: Mission to Mars,2022.0,tvEpisode,Rabbids Invasion: Mission to Mars,Rabbids Invasion: Mission to Mars,2019,70,"Animation,Comedy,Family","[{'iso_3166_1': 'FR', 'name': 'France'}]",['FR'],"When Nebulous Industries announces they are recruiting Rabbids for a mission to Mars, Hibernation Rabbid doesn’t think twice. As a genius Rabbid misunderstood by his stupid peers, he has always dreamed of going to the red planet. He takes off with three other Rabbids: Disco, the lively queen of the dance-floor, Cosmo, the pilot and Mini, the adorable tiny Rabbid. Facing an interplanetary space threat, our heroes will have to learn how to overcome their differences and understand that true wisdom comes from the heart!",['France'],71
1679,The Real Fatal Attraction,tt37274874,The Real Fatal Attraction,No,,1500000,0:55,1600000,The Real Fatal Attraction,1000.0,movie,The Real Fatal Attraction,The Real Fatal Attraction,2025,55,Documentary,[],['GB'],"The extraordinary story of one woman's terrifying campaign to destroy the life and reputation of a young barrister, told by the victim himself, that describes the jaw-dropping levels of harassment that he was subjected to.",[],55
1629,An Elf's Story: The Elf on the Shelf,tt2094761,An Elf's Story: The Elf on the Shelf,No,,700000,0:26,1600000,An Elf's Story: The Elf on the Shelf,1000.0,tvMovie,An Elf's Story: The Elf on the Shelf,An Elf's Story: The Elf on the Shelf,2010,26,"Animation,Family,Fantasy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"The inspirational tale of Chippey, the young scout elf who is assigned by Santa to restore Taylor McTuttle's belief in Christmas magic. When the boy breaks the number one Elf on the Shelf rule, Chippey loses his Christmas magic; the entire McTuttle family loses is scout elf, and both Taylor and Chippey lose their self-respect. Through the power of love and forgiveness, both of them learn the most important lesson of all: that true belief cannot be taught.",['United States of America'],26
1636,Elf Pets: SantaÕs Reindeer Rescue,tt13020758,Elf Pets: SantaÕs Reindeer Rescue,No,,700000,0:27,1600000,Elf Pets: SantaÕs Reindeer Rescue,1000.0,short,Elf Pets: Santa's Reindeer Rescue,Elf Pets: Santa's Reindeer Rescue,2020,26,"Family,Short","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"It's almost Christmas and Santa's test flights have run into trouble. Can The Elf on the Shelf, a crew of adorable Elf Pets Reindeer and Santa's gang of trusted Scout Elf friends help him find the answer before it's too late? Join Santa's cast of whimsical characters in this animated Christmas Special full of toe-tapping humor and heart, as they work together to save the holiday season and discover the power of love.",['United States of America'],27
1729,RRR (Hindi),tt8178634,RRR (Hindi),No,,4600000,3:06,1500000,RRR (Hindi),1000.0,movie,RRR,RRR (Rise Roar Revolt),2022,187,"Action,Adventure,Drama","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,['India'],186
1708,Dunki,tt15428134,Dunki // ____,No,,3900000,2:40,1500000,Dunki,1000.0,movie,Dunki,Dunki,2023,160,"Action,Adventure,Comedy","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],"Four friends from a sleepy little village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier alights from a train one day, and their lives change. He gives them a soldier's promise: He will take them to the land of their dreams. What follows is a hilarious and heartwarming tale of a perilous journey through the desert and the sea, but most crucially through the hinterlands of their mind.",['India'],160
1753,Zindagi Na Milegi Dobara,tt1562872,Zindagi Na Milegi Dobara // ______ __ ______ ______,No,,3900000,2:34,1500000,Zindagi Na Milegi Dobara,1000.0,movie,Zindagi Na Milegi Dobara,Zindagi Na Milegi Dobara,2011,155,"Comedy,Drama,Musical","[{'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",['IN'],"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?","['India', 'Spain']",154
1688,11 Rebels,tt33367745,11 Rebels // ______,No,,3800000,2:35,1500000,11 Rebels,1000.0,movie,11 Rebels,11 no Zokugun,2024,155,"Action,Drama,History","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",['JP'],"When the brutal Boshin War breaks out in Japan, a group of inmates on death row unite to defend a fortress against the Imperial army.",['Japan'],155
1741,The Last Days of American Crime,tt1552211,The Last Days of American Crime,Yes,2020-06-05,3700000,2:29,1500000,The Last Days of American Crime,2020.0,movie,The Last Days of American Crime,The Last Days of American Crime,2020,148,"Action,Crime,Drama","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"In the not-too-distant future, as a final response to crime and terrorism, the U.S. government plans to broadcast a signal that will make it impossible for anyone to knowingly break the law.",['United States of America'],149
1690,22 July,tt7280898,22 July,Yes,2018-10-10,3500000,2:24,1500000,22 July,2018.0,movie,22 July,22 July,2018,143,"Crime,Drama,History","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['NO'],"On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved.",['United States of America'],144
1697,Anweshippin Kandethum,tt13885428,Anweshippin Kandethum,Yes,,3500000,2:23,1500000,Anweshippin Kandethum,1000.0,movie,Anweshippin Kandethum,Anweshippin Kandethum,2024,142,"Crime,Drama,Mystery","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],A team of four expert policemen go through extreme trials and tribulations to find the killer of a young woman.,['India'],143
1696,Angels & Demons,tt0808151,Angels & Demons,No,,3400000,2:19,1500000,Angels & Demons,1000.0,movie,Angels & Demons,Angels & Demons,2009,138,"Mystery,Thriller","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['IT', 'US']","Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave.","['Italy', 'United States of America']",139
1704,Darlings,tt14152140,Darlings // __________,Yes,2022-08-05,3400000,2:15,1500000,Darlings,2022.0,movie,Darlings,Darlings,2022,133,"Comedy,Drama,Thriller","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",['India'],135
1727,Pedro Pramo,tt27717667,Pedro Pramo,Yes,2024-11-06,3400000,2:12,1500000,Pedro Pramo,2024.0,movie,Pedro Páramo,Pedro Páramo,2024,130,"Drama,Fantasy,Horror","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",['MX'],"A man searches for his father, Pedro Páramo, in a town doomed by violence and the fury of a frustrated love.",['Mexico'],132
1701,Bohemian Rhapsody,tt1727824,Bohemian Rhapsody,No,,3300000,2:15,1500000,Bohemian Rhapsody,1000.0,movie,Bohemian Rhapsody,Bohemian Rhapsody,2018,134,"Biography,Drama,Music","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['US', 'GB']","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.","['United Kingdom', 'United States of America']",135
1721,Million Dollar Baby,tt0405159,Million Dollar Baby,No,,3300000,2:13,1500000,Million Dollar Baby,1000.0,movie,Million Dollar Baby,Million Dollar Baby,2004,132,"Drama,Sport","[{'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.","['Switzerland', 'United States of America']",133
1726,Parasite,tt6751668,Parasite // ___,No,,3300000,2:12,1500000,Parasite,1000.0,movie,Parasite,Gisaengchung,2019,132,"Drama,Thriller","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",['KR'],"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",['South Korea'],132
1742,The Lost World: Jurassic Park,tt0119567,The Lost World: Jurassic Park,No,,3300000,2:09,1500000,The Lost World: Jurassic Park,1000.0,movie,The Lost World: Jurassic Park,The Lost World: Jurassic Park,1997,129,"Action,Adventure,Sci-Fi","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that he has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller.",['United States of America'],129
